instance_id,source,review_status_sequence,official_resolved,reviewer_accepted_after_revision,reviewer_calls,engineer_rounds
instance_gravitational__teleport-1316e6728a3ee2fc124e2ea0cc6a02044c87a144-v626ec2a48416b10a88641359a169d99e935ff037,continuation,continue>blocked,1,0,2,2
instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,continuation,continue>done,1,1,2,2
instance_gravitational__teleport-7744f72c6eb631791434b648ba41083b5f6d2278-vce94f93ad1030e3136852817f2423c1b3ac37bc4,continuation,continue>blocked,1,0,1,2
instance_gravitational__teleport-ba6c4a135412c4296dd5551bd94042f0dc024504-v626ec2a48416b10a88641359a169d99e935ff037,continuation,continue>blocked,1,0,2,2
instance_gravitational__teleport-baeb2697c4e4870c9850ff0cd5c7a2d08e1401c9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,continuation,continue>blocked,1,0,2,2
instance_gravitational__teleport-d873ea4fa67d3132eccba39213c1ca2f52064dcc-vce94f93ad1030e3136852817f2423c1b3ac37bc4,continuation,continue>continue,0,0,2,2
instance_gravitational__teleport-e6681abe6a7113cfd2da507f05581b7bdf398540-v626ec2a48416b10a88641359a169d99e935ff037,continuation,continue>done,1,1,2,2
instance_internetarchive__openlibrary-58999808a17a26b387f8237860a7a524d1e2d262-v08d8e8889ec945ab821fb156c04c7d2e2810debb,continuation,continue>blocked,1,0,1,2
instance_internetarchive__openlibrary-62d2243131a9c7e6aee00d1e9c5660fd5b594e89-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,continuation,continue>done,1,1,2,2
instance_internetarchive__openlibrary-6fdbbeee4c0a7e976ff3e46fb1d36f4eb110c428-v08d8e8889ec945ab821fb156c04c7d2e2810debb,continuation,continue>blocked,1,0,1,2
instance_internetarchive__openlibrary-d109cc7e6e161170391f98f9a6fa1d02534c18e4-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,continuation,continue>done,1,1,2,2
instance_navidrome__navidrome-812dc2090f20ac4f8ac271b6ed95be5889d1a3ca,continuation,continue>done,1,1,2,2
instance_navidrome__navidrome-874b17b8f614056df0ef021b5d4f977341084185,continuation,continue>continue,1,0,2,2
instance_navidrome__navidrome-87d4db7638b37eeb754b217440ab7a372f669205,continuation,continue>blocked,0,0,2,2
instance_navidrome__navidrome-d21932bd1b2379b0ebca2d19e5d8bae91040268a,continuation,continue>done,1,1,2,2
instance_protonmail__webclients-2c3559cad02d1090985dba7e8eb5a129144d9811,continuation,continue>blocked,1,0,1,2
instance_protonmail__webclients-369fd37de29c14c690cb3b1c09a949189734026f,continuation,continue>blocked,1,0,2,2
instance_protonmail__webclients-7e54526774e577c0ebb58ced7ba8bef349a69fec,continuation,continue>done,1,1,2,2
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,continuation,continue>done,1,1,2,2
instance_qutebrowser__qutebrowser-99029144b5109bb1b2a53964a7c129e009980cd9-va0fd88aac89cde702ec1ba84877234da33adce8a,continuation,continue>blocked,1,0,2,2
instance_tutao__tutanota-40e94dee2bcec2b63f362da283123e9df1874cc1-vc4e41fd0029957297843cb9dec4a25c7c756f029,continuation,continue>done,0,1,2,2
